loss,mae,val_loss,val_mae
56100241408.0,206914.40625,56598986752.0,207230.734375
56100229120.0,206914.375,56598974464.0,207230.734375
56100216832.0,206914.375,56598962176.0,207230.734375
56100204544.0,206914.375,56598941696.0,207230.6875
56100184064.0,206914.328125,56598921216.0,207230.6875
56100163584.0,206914.328125,56598908928.0,207230.640625
56100151296.0,206914.328125,56598892544.0,207230.59375
56100139008.0,206914.28125,56598872064.0,207230.546875
56100114432.0,206914.28125,56598859776.0,207230.546875
56100102144.0,206914.234375,56598839296.0,207230.5
56100089856.0,206914.234375,56598827008.0,207230.453125
56100077568.0,206914.1875,56598806528.0,207230.40625
56100048896.0,206914.140625,56598794240.0,207230.359375
56100036608.0,206914.140625,56598777856.0,207230.28125
56100020224.0,206914.09375,56598749184.0,207230.234375
56099999744.0,206914.0625,56598732800.0,207230.15625
56099995648.0,206914.015625,56598712320.0,207230.109375
56099962880.0,206914.0,56598691840.0,207230.015625
56099950592.0,206913.9375,56598679552.0,207229.96875
56099938304.0,206913.890625,56598654976.0,207229.921875
56099917824.0,206913.84375,56598630400.0,207229.875
56099897344.0,206913.796875,56598618112.0,207229.8125
56099872768.0,206913.71875,56598593536.0,207229.765625
56099860480.0,206913.671875,56598564864.0,207229.71875
56099835904.0,206913.609375,56598540288.0,207229.671875
56099811328.0,206913.5625,56598528000.0,207229.625
56099794944.0,206913.453125,56598503424.0,207229.578125
56099770368.0,206913.390625,56598470656.0,207229.53125
56099745792.0,206913.265625,56598446080.0,207229.484375
56099721216.0,206913.21875,56598421504.0,207229.4375
56099696640.0,206913.125,56598396928.0,207229.390625
56099667968.0,206913.03125,56598368256.0,207229.3125
56099643392.0,206912.921875,56598339584.0,207229.265625
56099618816.0,206912.875,56598306816.0,207229.1875
56099594240.0,206912.78125,56598274048.0,207229.140625
56099561472.0,206912.703125,56598249472.0,207229.046875
56099528704.0,206912.640625,56598224896.0,207229.0
56099500032.0,206912.5625,56598183936.0,207228.90625
56099467264.0,206912.484375,56598147072.0,207228.828125
56099434496.0,206912.390625,56598110208.0,207228.75
56099401728.0,206912.34375,56598085632.0,207228.65625
56099377152.0,206912.296875,56598044672.0,207228.609375
56099340288.0,206912.203125,56598007808.0,207228.515625
56099307520.0,206912.15625,56597970944.0,207228.421875
56099262464.0,206912.109375,56597925888.0,207228.3125
56099225600.0,206912.0,56597880832.0,207228.21875
56099188736.0,206911.9375,56597843968.0,207228.125
56099147776.0,206911.859375,56597798912.0,207228.046875
56099110912.0,206911.765625,56597753856.0,207227.953125
56099061760.0,206911.671875,56597708800.0,207227.828125
56099020800.0,206911.5625,56597663744.0,207227.734375
56098971648.0,206911.46875,56597606400.0,207227.609375
56098926592.0,206911.375,56597565440.0,207227.5
56098881536.0,206911.25,56597508096.0,207227.375
56098832384.0,206911.140625,56597454848.0,207227.25
56098779136.0,206911.03125,56597397504.0,207227.15625
56098729984.0,206910.890625,56597348352.0,207227.015625
56098680832.0,206910.796875,56597282816.0,207226.859375
56098627584.0,206910.625,56597221376.0,207226.75
56098566144.0,206910.5,56597168128.0,207226.625
56098508800.0,206910.359375,56597106688.0,207226.484375
56098443264.0,206910.265625,56597041152.0,207226.328125
56098385920.0,206910.09375,56596971520.0,207226.15625
56098324480.0,206909.921875,56596901888.0,207226.015625
56098267136.0,206909.828125,56596828160.0,207225.875
56098197504.0,206909.625,56596762624.0,207225.703125
56098127872.0,206909.484375,56596688896.0,207225.53125
56098058240.0,206909.34375,56596619264.0,207225.359375
56097980416.0,206909.171875,56596533248.0,207225.1875
56097910784.0,206909.0,56596451328.0,207224.96875
56097832960.0,206908.828125,56596369408.0,207224.828125
56097751040.0,206908.640625,56596291584.0,207224.640625
56097677312.0,206908.46875,56596197376.0,207224.4375
56097599488.0,206908.28125,56596115456.0,207224.21875
56097509376.0,206908.078125,56596021248.0,207224.03125
56097423360.0,206907.890625,56595927040.0,207223.84375
56097337344.0,206907.6875,56595836928.0,207223.625
56097243136.0,206907.453125,56595734528.0,207223.375
56097153024.0,206907.25,56595632128.0,207223.15625
56097054720.0,206907.0625,56595529728.0,207222.9375
56096956416.0,206906.828125,56595431424.0,207222.71875
56096862208.0,206906.578125,56595316736.0,207222.453125
56096759808.0,206906.359375,56595206144.0,207222.21875
56096661504.0,206906.140625,56595091456.0,207221.96875
56096546816.0,206905.875,56594984960.0,207221.6875
56096436224.0,206905.609375,56594853888.0,207221.4375
56096329728.0,206905.34375,56594739200.0,207221.171875
56096215040.0,206905.078125,56594604032.0,207220.875
56096100352.0,206904.828125,56594485248.0,207220.59375
56095973376.0,206904.546875,56594350080.0,207220.328125
56095858688.0,206904.25,56594219008.0,207220.03125
56095731712.0,206903.96875,56594075648.0,207219.6875
56095592448.0,206903.71875,56593936384.0,207219.375
56095465472.0,206903.375,56593797120.0,207219.09375
56095326208.0,206903.09375,56593657856.0,207218.75
56095199232.0,206902.75,56593498112.0,207218.4375
56095047680.0,206902.40625,56593354752.0,207218.078125
56094908416.0,206902.125,56593195008.0,207217.75
56094760960.0,206901.78125,56593035264.0,207217.375
56094601216.0,206901.421875,56592871424.0,207217.0
56094449664.0,206901.0625,56592699392.0,207216.640625
56094298112.0,206900.71875,56592535552.0,207216.25
56094130176.0,206900.328125,56592355328.0,207215.859375
56093966336.0,206899.96875,56592171008.0,207215.453125
56093802496.0,206899.578125,56591994880.0,207215.046875
56093622272.0,206899.1875,56591802368.0,207214.65625
56093446144.0,206898.78125,56591618048.0,207214.21875
56093270016.0,206898.359375,56591421440.0,207213.78125
56093077504.0,206897.953125,56591220736.0,207213.34375
56092901376.0,206897.515625,56591015936.0,207212.90625
56092708864.0,206897.078125,56590815232.0,207212.421875
56092512256.0,206896.640625,56590598144.0,207211.9375
56092315648.0,206896.1875,56590389248.0,207211.453125
56092106752.0,206895.71875,56590159872.0,207210.96875
56091897856.0,206895.234375,56589938688.0,207210.46875
56091680768.0,206894.75,56589713408.0,207209.984375
56091471872.0,206894.265625,56589471744.0,207209.453125
56091246592.0,206893.765625,56589238272.0,207208.921875
56091021312.0,206893.25,56588992512.0,207208.375
56090791936.0,206892.71875,56588750848.0,207207.796875
56090550272.0,206892.1875,56588484608.0,207207.265625
56090316800.0,206891.65625,56588230656.0,207206.6875
56090066944.0,206891.09375,56587960320.0,207206.109375
56089812992.0,206890.515625,56587694080.0,207205.515625
56089571328.0,206889.953125,56587423744.0,207204.890625
56089305088.0,206889.328125,56587141120.0,207204.265625
56089042944.0,206888.75,56586858496.0,207203.640625
56088772608.0,206888.171875,56586559488.0,207203.0
